,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,astorga,-23.2325,-51.6656,79.03,31.0,91.0,14.43,BR,1657899951.0
1,victor harbor,-35.5667,138.6167,54.0,56.0,100.0,16.17,AU,1657899951.0
2,nikolskoye,59.7035,30.7861,65.98,58.0,100.0,5.75,RU,1657899952.0
3,ushuaia,-54.8,-68.3,35.26,55.0,20.0,8.05,AR,1657899952.0
4,barrow,71.2906,-156.7887,33.82,86.0,100.0,11.5,US,1657899737.0
5,busselton,-33.65,115.3333,58.66,71.0,90.0,0.85,AU,1657899953.0
7,bethel,41.3712,-73.414,79.9,49.0,0.0,1.01,US,1657899955.0
8,manicore,-5.8092,-61.3003,87.75,70.0,75.0,6.91,BR,1657899956.0
9,kodiak,57.79,-152.4072,54.91,88.0,0.0,4.61,US,1657899956.0
10,mataura,-46.1927,168.8643,36.48,98.0,61.0,4.54,NZ,1657899957.0
11,pampierstad,-27.7832,24.6877,58.71,24.0,0.0,1.59,ZA,1657899958.0
12,saskylakh,71.9167,114.0833,48.56,62.0,3.0,4.43,RU,1657899959.0
13,albany,42.6001,-73.9662,76.91,45.0,0.0,1.99,US,1657899959.0
14,atuona,-9.8,-139.0333,76.91,71.0,12.0,10.6,PF,1657899960.0
15,atar,20.5169,-13.0499,107.47,16.0,55.0,14.2,MR,1657899960.0
16,rikitea,-23.1203,-134.9692,68.34,71.0,100.0,3.27,PF,1657899961.0
17,yerbogachen,61.2767,108.0108,58.19,69.0,94.0,2.48,RU,1657899962.0
18,codrington,-38.2667,141.9667,50.14,61.0,100.0,14.52,AU,1657899963.0
19,beringovskiy,63.05,179.3167,46.22,82.0,43.0,9.31,RU,1657899963.0
20,port elizabeth,-33.918,25.5701,60.19,81.0,0.0,9.22,ZA,1657899964.0
21,aksu,41.1231,80.2644,76.24,41.0,69.0,15.52,CN,1657899964.0
22,hermanus,-34.4187,19.2345,60.8,76.0,100.0,9.17,ZA,1657899965.0
23,punta arenas,-53.15,-70.9167,26.42,86.0,40.0,11.5,CL,1657899966.0
25,saint-pierre,-21.3393,55.4781,69.4,70.0,75.0,13.8,RE,1657899968.0
27,hasaki,35.7333,140.8333,73.8,96.0,90.0,3.42,JP,1657899969.0
28,portobelo,9.55,-79.65,80.94,84.0,99.0,6.98,PA,1657899970.0
29,gorontalo,0.5412,123.0595,74.25,95.0,100.0,1.43,ID,1657899971.0
30,yumen,40.2833,97.2,72.46,37.0,100.0,4.16,CN,1657899972.0
31,tuktoyaktuk,69.4541,-133.0374,37.4,87.0,100.0,11.5,CA,1657899973.0
32,coos bay,43.3665,-124.2179,56.88,94.0,100.0,4.61,US,1657899974.0
36,kruisfontein,-34.0033,24.7314,59.88,83.0,19.0,6.71,ZA,1657899976.0
37,pisco,-13.7,-76.2167,62.65,72.0,75.0,5.75,PE,1657899977.0
38,tessalit,20.1986,1.0114,96.55,25.0,43.0,29.37,ML,1657899977.0
39,coahuayana,18.7333,-103.6833,88.02,56.0,98.0,2.64,MX,1657899978.0
40,hofn,64.2539,-15.2082,55.42,76.0,20.0,11.5,IS,1657899979.0
41,flin flon,54.7682,-101.865,76.84,44.0,20.0,9.22,CA,1657899979.0
42,thaba-tseka,-29.522,28.6084,47.35,37.0,0.0,2.1,LS,1657899980.0
